paths,S0,K,type,price,time_ms
50000,100,100,call,10.3354,15.8928
50000,100,100,put,6.07304,14.2332
50000,100,90,call,16.6376,21.619
50000,100,90,put,2.48318,8.54192
50000,90,100,call,4.98537,9.62454
50000,90,100,put,11.4203,20.6208
200000,100,100,call,10.4435,43.9103
200000,100,100,put,6.07548,40.5699
200000,100,90,call,16.6904,57.5073
200000,100,90,put,2.47728,25.7728
200000,90,100,call,5.08499,28.5714
200000,90,100,put,11.4499,55.4266
500000,100,100,call,10.4582,100.692
500000,100,100,put,6.06449,92.9941
500000,100,90,call,16.7043,130.474
500000,100,90,put,2.47282,59.4451
500000,90,100,call,5.09945,65.5208
500000,90,100,put,11.4379,125.775
1000000,100,100,call,10.4619,194.221
1000000,100,100,put,6.05491,179.262
1000000,100,90,call,16.7107,251.747
1000000,100,90,put,2.46509,114.386
1000000,90,100,call,5.09898,127.402
1000000,90,100,put,11.4322,242.908
