paths,S0,K,type,price,time_ms
50000,100,100,call,10.8441,14.5998
50000,100,100,put,6.46373,12.6331
50000,100,90,call,17.1219,20.0002
50000,100,90,put,2.74995,7.48102
50000,90,100,call,5.40148,8.8695
50000,90,100,put,11.858,18.9203
200000,100,100,call,10.8552,42.9274
200000,100,100,put,6.47522,39.05
200000,100,90,call,17.1208,56.815
200000,100,90,put,2.75981,24.1844
200000,90,100,call,5.41489,27.0195
200000,90,100,put,11.8823,53.7889
500000,100,100,call,10.8648,98.5364
500000,100,100,put,6.46609,90.0212
500000,100,90,call,17.1291,129.477
500000,100,90,put,2.75463,56.1292
500000,90,100,call,5.42741,62.9901
500000,90,100,put,11.8773,123.089
1000000,100,100,call,10.8707,191.401
1000000,100,100,put,6.45852,174.424
1000000,100,90,call,17.1394,249.25
1000000,100,90,put,2.74797,109.623
1000000,90,100,call,5.42628,123.438
1000000,90,100,put,11.8618,238.012
